,user_id,date,direction,internal,operator_id,is_missed_call,calls_count,call_duration,total_call_duration
104,166377,2019-08-28 00:00:00+03:00,out,False,880028.0,True,29,0,993
105,166377,2019-08-29 00:00:00+03:00,out,False,880026.0,False,22,3244,3396
106,166377,2019-08-29 00:00:00+03:00,in,False,880026.0,False,1,48,52
107,166377,2019-08-29 00:00:00+03:00,out,False,880028.0,True,16,0,662
108,166377,2019-08-29 00:00:00+03:00,out,False,880026.0,True,23,0,321
109,166377,2019-08-29 00:00:00+03:00,in,False,,True,2,0,60
110,166377,2019-08-29 00:00:00+03:00,out,False,880028.0,False,25,2323,2595
111,166377,2019-08-29 00:00:00+03:00,out,False,880028.0,False,25,2323,2595
112,166377,2019-08-30 00:00:00+03:00,out,False,880028.0,True,8,0,384
113,166377,2019-08-30 00:00:00+03:00,out,False,880026.0,False,24,1653,1864
114,166377,2019-08-30 00:00:00+03:00,in,False,880028.0,False,1,45,65
115,166377,2019-08-30 00:00:00+03:00,out,False,880022.0,False,1,239,257
116,166377,2019-08-30 00:00:00+03:00,out,False,880028.0,False,14,989,1099
117,166377,2019-08-30 00:00:00+03:00,out,False,880026.0,True,11,0,292
118,166377,2019-09-02 00:00:00+03:00,in,False,880028.0,False,2,66,75
119,166377,2019-09-02 00:00:00+03:00,in,False,880026.0,False,1,31,34
120,166377,2019-09-02 00:00:00+03:00,out,False,880026.0,False,16,1853,1983
121,166377,2019-09-02 00:00:00+03:00,out,False,880026.0,True,6,0,168
122,166377,2019-09-02 00:00:00+03:00,out,False,880028.0,False,20,2529,2687
123,166377,2019-09-02 00:00:00+03:00,out,False,880028.0,True,29,0,1345
124,166377,2019-09-02 00:00:00+03:00,out,True,880020.0,True,2,0,0
125,166377,2019-09-02 00:00:00+03:00,out,False,880020.0,True,2,0,3
126,166377,2019-09-03 00:00:00+03:00,out,False,880028.0,False,17,1573,1733
127,166377,2019-09-03 00:00:00+03:00,in,False,,True,1,0,20
128,166377,2019-09-03 00:00:00+03:00,out,False,880026.0,False,23,2054,2198
129,166377,2019-09-03 00:00:00+03:00,out,False,880028.0,True,18,0,416
130,166377,2019-09-03 00:00:00+03:00,out,False,880026.0,True,8,0,248
131,166377,2019-09-03 00:00:00+03:00,out,False,880028.0,True,18,0,416
132,166377,2019-09-04 00:00:00+03:00,out,True,880022.0,True,1,0,2
133,166377,2019-09-04 00:00:00+03:00,out,False,880026.0,True,7,0,164
134,166377,2019-09-04 00:00:00+03:00,in,False,,True,1,0,19
135,166377,2019-09-04 00:00:00+03:00,out,False,880022.0,False,3,360,395
136,166377,2019-09-04 00:00:00+03:00,out,False,880022.0,True,1,0,55
137,166377,2019-09-04 00:00:00+03:00,out,True,880028.0,True,1,0,1
138,166377,2019-09-04 00:00:00+03:00,out,False,880026.0,False,27,2176,2393
139,166377,2019-09-04 00:00:00+03:00,in,False,880028.0,False,1,195,208
140,166377,2019-09-04 00:00:00+03:00,out,False,880028.0,False,15,2539,2613
141,166377,2019-09-04 00:00:00+03:00,out,False,880028.0,True,19,0,230
142,166377,2019-09-05 00:00:00+03:00,out,False,880026.0,True,6,0,242
143,166377,2019-09-05 00:00:00+03:00,out,False,880026.0,False,21,2748,2928
144,166377,2019-09-05 00:00:00+03:00,in,False,880020.0,False,1,63,70
145,166377,2019-09-05 00:00:00+03:00,out,False,880028.0,False,8,983,1010
146,166377,2019-09-05 00:00:00+03:00,in,False,,True,2,0,23
147,166377,2019-09-05 00:00:00+03:00,out,False,880028.0,True,9,0,247
148,166377,2019-09-05 00:00:00+03:00,in,False,880026.0,False,1,63,65
149,166377,2019-09-05 00:00:00+03:00,out,True,880022.0,True,2,0,0
150,166377,2019-09-05 00:00:00+03:00,out,False,880022.0,False,6,746,760
151,166377,2019-09-05 00:00:00+03:00,out,False,880022.0,False,6,746,760
152,166377,2019-09-06 00:00:00+03:00,out,True,880022.0,True,2,0,0
153,166377,2019-09-06 00:00:00+03:00,out,False,880022.0,False,5,1243,1265
154,166377,2019-09-06 00:00:00+03:00,out,False,880028.0,True,9,0,392
155,166377,2019-09-06 00:00:00+03:00,out,False,880028.0,False,13,1304,1441
156,166377,2019-09-06 00:00:00+03:00,out,True,880026.0,True,1,0,3
157,166377,2019-09-06 00:00:00+03:00,in,False,880020.0,False,1,48,56
158,166377,2019-09-06 00:00:00+03:00,out,False,880022.0,True,4,0,112
159,166377,2019-09-06 00:00:00+03:00,out,False,880026.0,False,14,1045,1127
160,166377,2019-09-09 00:00:00+03:00,out,False,880026.0,True,5,0,114
161,166377,2019-09-09 00:00:00+03:00,out,False,880028.0,True,9,0,316
162,166377,2019-09-09 00:00:00+03:00,out,False,880022.0,False,4,234,302
163,166377,2019-09-09 00:00:00+03:00,out,False,880026.0,False,16,1479,1616
164,166377,2019-09-09 00:00:00+03:00,out,False,880022.0,True,5,0,192
165,166377,2019-09-09 00:00:00+03:00,in,False,880020.0,False,1,54,58
166,166377,2019-09-09 00:00:00+03:00,in,False,,True,1,0,29
167,166377,2019-09-09 00:00:00+03:00,in,False,880026.0,False,1,32,40
168,166377,2019-09-09 00:00:00+03:00,out,False,880028.0,False,18,1601,1806
169,166377,2019-09-10 00:00:00+03:00,in,False,,True,1,0,26
170,166377,2019-09-10 00:00:00+03:00,out,False,880028.0,True,19,0,552
171,166377,2019-09-10 00:00:00+03:00,out,False,880022.0,True,1,0,54
172,166377,2019-09-10 00:00:00+03:00,out,False,880028.0,False,29,2082,2256
173,166377,2019-09-10 00:00:00+03:00,out,False,880026.0,False,32,2451,2620
174,166377,2019-09-10 00:00:00+03:00,out,False,880022.0,False,2,88,91
175,166377,2019-09-10 00:00:00+03:00,out,False,880026.0,True,6,0,178
176,166377,2019-09-10 00:00:00+03:00,out,False,880022.0,True,1,0,54
177,166377,2019-09-11 00:00:00+03:00,in,False,,True,1,0,2
178,166377,2019-09-11 00:00:00+03:00,out,False,880026.0,False,16,1452,1529
179,166377,2019-09-11 00:00:00+03:00,out,False,880022.0,False,5,479,533
