,user_id,tariff_plan,date_start
270,167618,C,2019-09-23
271,167744,C,2019-09-27
272,167861,C,2019-10-03
273,167370,C,2019-09-13
274,167408,C,2019-09-16
275,166585,C,2019-08-09
276,167683,C,2019-09-25
277,167506,C,2019-09-18
278,166874,C,2019-08-22
279,167643,C,2019-09-24
280,167627,C,2019-09-24
281,167455,C,2019-09-17
282,167533,C,2019-09-19
283,167532,C,2019-09-19
284,166688,C,2019-08-15
285,167209,C,2019-09-06
286,167526,C,2019-09-19
287,167456,C,2019-09-17
288,167494,C,2019-09-18
289,167500,C,2019-09-18
290,167159,C,2019-09-04
291,167430,C,2019-09-16
292,167482,C,2019-09-18
293,167450,C,2019-09-17
294,167488,C,2019-09-18
295,167434,C,2019-09-16
296,167016,C,2019-08-28
297,167001,C,2019-08-28
298,167195,C,2019-09-05
299,167425,C,2019-09-16
300,166645,C,2019-08-13
301,166397,C,2019-08-01
302,166881,C,2019-08-22
303,167107,C,2019-09-02
304,167382,C,2019-09-13
305,167199,C,2019-09-05
306,167252,C,2019-09-09
307,167277,C,2019-09-10
308,167031,C,2019-08-29
309,167059,C,2019-08-29
310,166631,C,2019-08-12
311,167272,C,2019-09-10
312,167286,C,2019-09-10
313,167210,C,2019-09-06
314,167200,C,2019-09-06
315,167192,C,2019-09-05
316,167235,C,2019-09-09
317,167242,C,2019-09-09
318,167246,C,2019-09-09
319,167188,C,2019-09-05
320,167019,C,2019-08-28
321,167109,C,2019-09-02
322,167150,C,2019-09-04
323,167162,C,2019-09-04
324,166889,C,2019-08-22
325,167143,C,2019-09-04
326,166985,C,2019-08-27
327,167079,C,2019-08-30
328,167052,C,2019-08-29
329,166726,C,2019-08-16
330,166833,C,2019-08-21
331,167102,C,2019-09-02
332,166617,C,2019-08-12
333,166917,C,2019-08-23
334,166938,C,2019-08-26
335,166983,C,2019-08-27
336,166973,C,2019-08-27
337,167003,C,2019-08-28
338,166836,C,2019-08-21
339,167030,C,2019-08-29
340,166812,C,2019-08-20
341,167034,C,2019-08-29
342,167014,C,2019-08-28
343,166974,C,2019-08-27
344,166868,C,2019-08-22
345,166679,C,2019-08-14
346,166575,C,2019-08-09
347,167035,C,2019-08-29
348,166918,C,2019-08-23
349,166460,C,2019-08-05
350,166396,C,2019-08-01
351,166703,C,2019-08-15
352,166835,C,2019-08-21
353,166604,C,2019-08-12
354,166792,C,2019-08-19
355,166767,C,2019-08-19
356,166979,C,2019-08-27
357,166959,C,2019-08-26
358,166926,C,2019-08-23
359,166621,C,2019-08-12
360,166708,C,2019-08-15
361,166745,C,2019-08-16
362,166744,C,2019-08-16
363,166717,C,2019-08-16
364,166803,C,2019-08-20
365,166511,C,2019-08-06
366,166677,C,2019-08-14
367,166636,C,2019-08-12
368,166691,C,2019-08-15
369,166566,C,2019-08-08
370,166671,C,2019-08-14
371,166491,C,2019-08-06
372,166649,C,2019-08-13
373,166573,C,2019-08-09
374,166392,C,2019-08-01
375,166520,C,2019-08-07
376,166555,C,2019-08-08
377,166540,C,2019-08-07
378,166410,C,2019-08-02
379,166497,C,2019-08-06
380,166468,C,2019-08-05
381,166373,C,2019-08-01
382,166387,C,2019-08-01
383,166876,C,2019-08-22
384,166903,C,2019-08-23
